Title,Year,Link,Abstract,Author Keywords,Index Keywords
"QT prolongation associated with hydroxychloroquine and protease inhibitors in COVID-19",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103219165&doi=10.1111%2fjcpt.13356&partnerID=40&md5=a6d511084ab90600d2b0e3f2d95b57b7","What is known and Objective: Hydroxychloroquine and protease inhibitors were widely used as off-label treatment options for COVID-19 but the safety data of these drugs among the COVID-19 population are largely lacking. Drug-induced QTc prolongation is a known adverse reaction of hydroxychloroquine, especially during chronic treatment. However, when administered concurrently with potential pro-arrhythmic drugs such as protease inhibitors, the risk of QTc prolongation imposed on these patients is not known. We aim to investigate the incidence of QTc prolongation events and potential factors associated with its occurrence in COVID-19 population. Methods: We included 446 SARS-CoV-2 RT-PCR-positive patients taking at least one treatment drug for COVID-19 within a period of one month (March–April 2020). In addition to COVID-19-related treatment (HCQ/PI), concomitant drugs with risks of QTc prolongation were considered. We defined QTc prolongation as QTc interval of ≥470 ms in postpubertal males, and ≥480 ms in postpubertal females. Results and Discussion: QTc prolongation events occurred in 28/446 (6.3%) patients with an incidence rate of 1 case per 100 person-days. A total of 26/28 (93%) patients who had prolonged QTc intervals received at least two pro-QT drugs. Multivariate analysis showed that HCQ and PI combination therapy had five times higher odds of QTc prolongation as compared to HCQ-only therapy after controlling for age, cardiovascular disease, SIRS and the use of concurrent QTc-prolonging agents besides HCQ and/or PI (OR 5.2; 95% CI, 1.11-24.49; p = 0.036). Independent of drug therapy, presence of SIRS resulted in four times higher odds of QTc prolongation (OR 4.3; 95% CI, 1.66-11.06; p = 0.003). In HCQ-PI combination group, having concomitant pro-QT drugs led to four times higher odds of QTc prolongation (OR 3.8; 95% CI, 1.53-9.73; p = 0.004). Four patients who had prolonged QTc intervals died but none were cardiac-related deaths. What is new and conclusion: In our cohort, hydroxychloroquine monotherapy had low potential to increase QTc intervals. However, when given concurrently with protease inhibitors which have possible or conditional risk, the odds of QTc prolongation increased fivefold. Interestingly, independent of drug therapy, the presence of systemic inflammatory response syndrome (SIRS) resulted in four times higher odds of QTc prolongation, leading to the postulation that some QTc events seen in COVID-19 patients may be due to the disease itself. ECG monitoring should be continued for at least a week from the initiation of treatment. © 2020 John Wiley & Sons Ltd","COVID-19; drug interaction; hydroxychloroquine; protease inhibitor; QTc prolongation","enzyme inhibitor; hydroxychloroquine; proteinase inhibitor; adult; cohort analysis; drug therapy; electrocardiography; female; human; long QT syndrome; Malaysia; male; middle aged; retrospective study; Adult; Cohort Studies; COVID-19; Electrocardiography; Enzyme Inhibitors; Female; Humans; Hydroxychloroquine; Long QT Syndrome; Malaysia; Male; Middle Aged; Protease Inhibitors; Retrospective Studies; SARS-CoV-2"
"Health promotion preparedness for health crises – a ‘must’ or ‘nice to have’? Case studies and global lessons learned from the COVID-19 pandemic",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103159239&doi=10.1177%2f1757975921998639&partnerID=40&md5=aa868970bdf7ef4203bd32395abf45ca","The current COVID-19 pandemic has exposed missing links between health promotion and national/global health emergency policies. In response, health promotion initiatives were urgently developed and applied around the world. A selection of case studies from five countries, based on the Socio-Ecological Model of Health Promotion, exemplify ‘real-world’ action and challenges for health promotion intervention, research, and policy during the COVID-19 pandemic. Interventions range from a focus on individuals/families, organizations, communities and in healthcare, public health, education and media systems, health-promoting settings, and policy. Lessons learned highlight the need for emphasizing equity, trust, systems approach, and sustained action in future health promotion preparedness strategies. Challenges and opportunities are highlighted regarding the need for rapid response, clear communication based on health literacy, and collaboration across countries, disciplines, and health and education systems for meaningful solutions to global health crises. © The Author(s) 2021.","equity/social justice; health literacy; health-promoting healthcare; health-promoting schools; mental health literacy; migrant health; vulnerable groups","health promotion; human; pandemic; public health; COVID-19; Health Promotion; Humans; Pandemics; Public Health"
"The COVID-19 pandemic and speculation in energy, precious metals, and agricultural futures",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103081212&doi=10.1016%2fj.jbef.2021.100498&partnerID=40&md5=a1ccffa0f08cef7f44674337e4a8f4f8","We report new evidence that speculation in energy and precious metal futures are more prevalent in crisis periods and even more so during the COVID-19 pandemic. In contrast, agricultural futures attract more hedging pressure. Post-GFC patterns mirror the 1980s’ recessions. Using quantile regression on a long-horizon sample we also find that speculative pressure generally coincides with abnormal returns in normal circumstances but not in the current pandemic. Instead, volatility is strongly and often non-linearly associated with speculation across instruments. © 2021 Elsevier B.V.","Amihud; Commodities; COVID-19; Futures; Gold; Oil; Pandemic; Silver; Speculation",
"A model of nurses’ intention to care of patients with COVID-19: Mediating roles of job satisfaction and organisational commitment",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102959648&doi=10.1111%2fjocn.15723&partnerID=40&md5=ebe283a39c4eeb08dfe4ab08ec7a4fd1","Aim and Objectives: This study aims to test the hypothesis that job satisfaction and organisational commitment might play a mediating roles between workload, quality of supervision, extra-role behaviour, pay satisfaction and intention to care of patients with COVID-19. Background: Given the high incidence of coronavirus and shortage of nurses in Iranian hospitals, learning about nurses’ intention to care for patients with COVID-19 is important. Design: In this cross-sectional study, 648 Iranian nurses were surveyed during March 2020. The online questionnaire consisted of two parts. The mediating role was explored for the following: job satisfaction and commitment in the association of workload, quality of supervisor, extra-role behaviours, and pay satisfaction with the intention to care. The study adhered to STROBE checklist for cross-sectional studies. Results: The results of this study show that job satisfaction and organisational commitment mediated the relationship of nurses’ workload, quality of supervisor, extra-role behaviours, and pay satisfaction with the intention to care for patients with COVID-19. Conclusion: The results of the study indicate the importance of job satisfaction and organisational commitment as mechanisms that help to understand the association of nurses’ workload, quality of supervisor, extra-role behaviours and pay satisfaction with the intention to care during the COVID-19 pandemic. Relevance to clinical practice: Hospital managers need to attend to the role of nurses’ job satisfaction and other organisational factors to ensure that they can cope with the challenges of the COVID-19 pandemic. © 2021 John Wiley & Sons Ltd","COVID-19; extra-role behaviour; intention to care; job satisfaction; organisational commitment; pay satisfaction; quality of supervision; workload","behavior; cross-sectional study; human; Iran; job satisfaction; nurse; nursing staff; pandemic; patient satisfaction; personnel management; questionnaire; COVID-19; Cross-Sectional Studies; Humans; Intention; Iran; Job Satisfaction; Nurses; Nursing Staff, Hospital; Pandemics; Patient Satisfaction; Personnel Turnover; SARS-CoV-2; Surveys and Questionnaires"
"Caring for cancer patients during COVID-19 global pandemic: Risk factors and precautionary principle",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102639912&doi=10.1111%2fijcp.14141&partnerID=40&md5=84086703a5a4168eb8d2fd179b730a85","The current global pandemic COVID-19 challenges oncologists to reorganise cancer care in order to strikingly reduce hospital visits and admissions. Cancer patients are more susceptible to infections and likely to get severe consequences compared with other patients. Health-care facility services are quickly changing their systems and workflow in response to the global pandemic COVID-19 crisis. These alterations mitigate infection risks and give profound effects on crucial aspects of care, including patients with cancer. Here, we discuss the current situations and a roadmap for cancer care during the COVID-19 crisis. In the prevalence of global cancer and higher transmission of pandemic COVID-19, there is an urgent need to realise the effect of SARS-CoV-2 infection and their related life-threatening outcomes specifically for cancer patients. © 2021 John Wiley & Sons Ltd",,"human; neoplasm; pandemic; risk factor; COVID-19; Humans; Neoplasms; Pandemics; Risk Factors; SARS-CoV-2"
"Surging trends in prescriptions and costs of antidepressants in England amid COVID-19",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102618602&doi=10.1007%2fs40199-021-00390-z&partnerID=40&md5=095dc0f3f02536391077d569f6a7484a","The social restrictions amid coronavirus disease 2019 (COVID-19) pandemic have posed a serious threat to mental health and have implications in the use of medications for mental health including antidepressants (ADs). This study investigated the trends in prescriptions and costs of various ADs in England during COVID-19 pandemic. National prescribing rates and net ingredient costs (NIC) of all ADs prescriptions during 2016 to 2020 were analyed. The total number of ADs prescriptions dispensed during COVID-19 pandemic (January to December 2020) were 78 million, 4 million more than in 2019 that costed NHS England £ 139 million more than in 2019. Sertraline, an SSRI antidepressant drug, alone accounted for an extra £113 million during 2020 than in 2019. The peak dispensing for ADs was observed in March 2020 while the total costs for AD drugs peaked in April 2020. The rising prescription costs for ADs during COVID-19 pandemic is a potential cause of concern, in particular the increasing use in adolescents and younger adults needs attention, who are at a higher risk of life-threatening adverse drug reactions. © 2021, The Author(s).","Antidepressants; Anxiety; Cost; Depression; Interventions; Mental health; Prescribing trends; SARS-CoV-2","antidepressant agent; depression; drug cost; economics; England; human; prescription; Antidepressive Agents; COVID-19; Depression; Drug Costs; Drug Prescriptions; England; Humans"
"Technology and Entrepreneurial Marketing Decisions During COVID-19",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102449056&doi=10.1007%2fs40171-021-00262-0&partnerID=40&md5=8ad217e6079b2e7511ff9519d35819c2","The prime concern of this study is to explore how technology influences entrepreneurial marketing decisions during the world pandemic (COVID-19). The study uses a sample of 127 SMEs from Bangladesh. Data were collected by sending out questionnaires electronically and by mail. Smart PLS (SEM) 3.0 was used to analyse the data following the quantitative method. The study reveals positive and significant relationships between entrepreneurial opportunity recognition, opportunity development and opportunity exploitation with their entrepreneurial marketing decisions. It also claims that entrepreneurial passion mediates the relationship between entrepreneurial opportunity recognition and opportunity development with their entrepreneurial marketing decisions. However, entrepreneurial passion does not mediate the relationship between entrepreneurial opportunity exploitation and entrepreneurial marketing decisions. The study offers researchers a broader and more wide-ranging view of the importance of artificial intelligence in small firms. Researchers, educators and practitioners will benefit from the findings. The analyses are more complex and varied than the methodologies used in most of the limited previous research. © 2021, Global Institute of Flexible Systems Management.","Bangladesh; COVID-19; Entrepreneurial marketing decisions; Opportunity development; Opportunity exploitation; Opportunity recognition; Technology",
"Assessing the efficiency of Malaysia health system in COVID-19 prevention and treatment response",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102027619&doi=10.1007%2fs10729-020-09539-9&partnerID=40&md5=d71da517aba3a738cc86b66353ab0f35","Malaysia was faced with a life-threatening crisis in combating COVID-19 with a number of positive cases reaching 5305 and 88 deaths by 18th April 2020 (the first detected case was on 25th January 2020). The government rapidly initiated a public health response and provided adequate medical care to manage the public health crisis during the implementation of movement restrictions, starting 18th March 2020, throughout the country. The objective of this study was to investigate the relative efficiency level of managing COVID-19 in Malaysia using network data envelopment analysis. Malaysia state-level data were extracted from secondary data sources which include variables such as total number of confirmed cases, death cases and recovered cases. These variables were used as inputs and outputs in a network process that consists of 3 sub processes i) community surveillance, ii) medical care I and iii) medical care II. A state-level analysis was performed according to low, medium and high population density categories. The efficiency level of community surveillance was highest compared to medical care processes, indicating that the overall inefficiency is greatly influenced by the inefficiency of the medical care processes rather than the community surveillance process. Results showed that high-density category performed well in both community surveillance and medical care II processes. Meanwhile, low-density category performed better in medical care I process. There was a good overall performance of the health system in Malaysia reflecting a strong preparedness and response level to this pandemic. Furthermore, resource allocation for rapid response was distributed effectively during this challenging period. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC part of Springer Nature.","COVID-19 prevention and treatment; Efficiency measurement; Malaysia; Network DEA","algorithm; drug therapy; factual database; health care delivery; health survey; human; Malaysia; organization and management; pandemic; prevention and control; public health; Algorithms; COVID-19; Databases, Factual; Delivery of Health Care; Efficiency, Organizational; Humans; Malaysia; Pandemics; Population Surveillance; Public Health; SARS-CoV-2"
"COVID-19 recovery for the Nigerian construction sites: The role of the fourth industrial revolution technologies",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101746993&doi=10.1016%2fj.scs.2021.102803&partnerID=40&md5=dfaefee6f7ad32c918804ddffd6f30b8","Fourth industrial revolution (4IR) technologies have been proved as successful platforms to communicate and visualise construction projects within team meetings. These techniques possibly can enhance compliance with Covid-19 rules on sites. How far concerning Nigerian construction contractors in the use of 4IR technologies are yet to receive in-depth studies. Therefore, this paper offers a collective insight into the issues affecting construction firms from Covid-19 regarding lockdown rules and the role of 4IR technologies. Given the unexplored nature of the problem, a virtual face-to-face type of qualitative research method was employed. Twelve semi-structured interviews from selected construction firms and consultant experts were engaged and collated data analysed via a thematic approach. Findings group the 4IR technologies into smart construction site, simulation and modelling, and digitisation and virtualisation in Nigeria's context, and majority of the 4IR technologies can be useful to enhance Covid-19 compliance. Reluctant to adopt, high implementation cost, inadequate knowledge management, resistance to change, among others emerged as the factors hindering 4IR technologies usage. Findings will strengthen and provide a rich insight into the impact of Covid-19 on construction sites and contribute towards informing key stakeholders to create an enabling environment for the implementation of 4IR technologies on site. © 2021 Elsevier Ltd","Construction firm; Construction site; Covid-19; Fourth industrial revolution technologies; Nigeria","Construction industry; Knowledge management; Modal analysis; Construction contractors; Construction projects; Implementation cost; Industrial revolutions; Qualitative research methods; Resistance to change; Semi structured interviews; Simulation and modelling; Industry 4.0"
"Comment on “Poorly known aspects of flattening the curve of COVID-19″",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101173810&doi=10.1016%2fj.techfore.2021.120674&partnerID=40&md5=1412ccbda87931a19b59d42163d0d4f1","This short research note describes and summarizes several recent peer-reviewed and non-peer-reviewed studies on the concept of flattening-the-curve (FTC) in the context of the COVID-19 pandemic. This note also highlights contradictory findings of these studies in terms of the effect of FTC on the total number of infections (the final epidemic size), and poses a research problem for future studies. © 2021","Epidemic size; Flattening the curve; Reproduction number; SIR models","Technological forecasting; Research problems; conceptual framework; COVID-19; epidemic; future prospect; infectious disease; numerical model; research work"
"Future IoT tools for COVID-19 contact tracing and prediction: A review of the state-of-the-science",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100881225&doi=10.1002%2fima.22552&partnerID=40&md5=370e2ab8092cd9a71c34dad901553221","In 2020 the world is facing unprecedented challenges due to COVID-19. To address these challenges, many digital tools are being explored and developed to contain the spread of the disease. With the lack of availability of vaccines, there is an urgent need to avert resurgence of infections by putting some measures, such as contact tracing, in place. While digital tools, such as phone applications are advantageous, they also pose challenges and have limitations (eg, wireless coverage could be an issue in some cases). On the other hand, wearable devices, when coupled with the Internet of Things (IoT), are expected to influence lifestyle and healthcare directly, and they may be useful for health monitoring during the global pandemic and beyond. In this work, we conduct a literature review of contact tracing methods and applications. Based on the literature review, we found limitations in gathering health data, such as insufficient network coverage. To address these shortcomings, we propose a novel intelligent tool that will be useful for contact tracing and prediction of COVID-19 clusters. The solution comprises a phone application combined with a wearable device, infused with unique intelligent IoT features (complex data analysis and intelligent data visualization) embedded within the system to aid in COVID-19 analysis. Contact tracing applications must establish data collection and data interpretation. Intelligent data interpretation can assist epidemiological scientists in anticipating clusters, and can enable them to take necessary action in improving public health management. Our proposed tool could also be used to curb disease incidence in future global health crises. © 2021 Wiley Periodicals LLC.","contact tracing; coronavirus disease; COVID-19; deep learning; digital tools; intelligent internet of things; wearable devices","Data acquisition; Data visualization; Digital devices; Health; Telephone sets; Wearable technology; Data interpretation; Disease incidence; Health management; Health monitoring; Internet of thing (IOT); Literature reviews; Phone applications; Wireless coverage; Internet of things"
"Developing an efficient deep neural network for automatic detection of COVID-19 using chest X-ray images",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100426991&doi=10.1016%2fj.aej.2021.01.011&partnerID=40&md5=9bca6eee11a19e8289b5015f7552f389","The novel coronavirus (COVID-19) could be described as the greatest human challenge of the 21st century. The development and transmission of the disease have increased mortality in all countries. Therefore, a rapid diagnosis of COVID-19 is necessary to treat and control the disease. In this paper, a new method for the automatic identification of pneumonia (including COVID-19) is presented using a proposed deep neural network. In the proposed method, the chest X-ray images are used to separate 2–4 classes in 7 different and functional scenarios according to healthy, viral, bacterial, and COVID-19 classes. In the proposed architecture, Generative Adversarial Networks (GANs) are used together with a fusion of the deep transfer learning and LSTM networks, without involving feature extraction/selection for classification of pneumonia. We have achieved more than 90% accuracy for all scenarios except one and also achieved 99% accuracy for separating COVID-19 from healthy group. We also compared our deep proposed network with other deep transfer learning networks (including Inception-ResNet V2, Inception V4, VGG16 and MobileNet) that have been recently widely used in pneumonia detection studies. The results based on the proposed network were very promising in terms of accuracy, precision, sensitivity, and specificity compared to the other deep transfer learning approaches. Depending on the high performance of the proposed method, it can be used during the treatment of patients. © 2021 THE AUTHORS","CNN; COVID-19; GANs; LSTM; Pneumonia; Transfer learning; X-ray Images","Automation; Deep learning; Deep neural networks; Diagnosis; Disease control; Patient treatment; Transfer learning; Adversarial networks; Automatic Detection; Chest X-ray image; Coronaviruses; Feature extraction/selection; Functional scenarios; Learning approach; Proposed architectures; Long short-term memory"
"Analysis and design of emergency field isolation hospital building using innovative rapidly construction prefabricated units to treat patients infected with COVID-19",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100266340&doi=10.1007%2fs41062-020-00453-1&partnerID=40&md5=11664baca80eadcbb159c3173e033575","Coronavirus pandemic is the most catastrophic phenomena of nature. In a major disaster which affected substantially to human lifecycle and property loss. Instant rehabilitation for the people affected with coronavirus was essential. As an immediate measure, it led to the application of light-gauge steel within Saudi Arabia for quick construction, in addition for the safety purposes during disaster in the forthcoming. Several hospital buildings with changeable categories of earthquake and seismic performance design needs are present. Broadly, the earthquake performance is categorized into two types: structural and non-structural, either under unsatisfactory conditions can be dangerous to occupants in the building once damage occurs. The deprivation in structural support of hospital building’s systems (i.e. lateral and vertical force resisting systems) like frames and walls in the hospital building comes under structural damage, whereas the non-structural damage means the damage which doesn’t affect the structural support system reliability such as pipes damage and pumps disruption, window breaking, breakdown of chimney viz. Furthermore, the non-structural damage is life intimidating also uneconomical. © 2021, Springer Nature Switzerland AG.","Light-gauge steel structures; Prefabricated structures; Structural analysis",
"Assessing the impact of non-pharmaceutical interventions on the transmissibility and severity of COVID-19 during the first five months in the Western Pacific Region",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100217768&doi=10.1016%2fj.onehlt.2021.100213&partnerID=40&md5=b5f98185b0884b84a9794c1efe28a7ee","While most countries in the Western Pacific Region (WPR) had similar trajectories of COVID-19 from January to May, their implementations of non-pharmaceutical interventions (NPIs) differed by transmission stages. To offer a better understanding for an implementation of multidisciplinary policies in COVID-19 control, we compared the impact of NPIs by assessing the transmissibility and severity of COVID-19 in different phases of the epidemic during the first five months in WPR. In this study, we estimated the piecewise instantaneous reproduction number (Rt) and the reporting delay-adjusted case-fatality ratio (dCFR) of COVID-19 in seven WPR jurisdictions: Hong Kong Special Administrative Region, Japan, Malaysia, Shanghai, Singapore, South Korea, and Taiwan. According to the results, implementing NPIs was associated with an apparent reduction of the piecewise Rt in two epidemic waves in general. However, large cluster outbreaks raised the piecewise Rt to a high level. We also observed relaxing the NPIs could result in an increase of Rt. The estimated dCFR ranged from 0.09% to 1.59% among the jurisdictions, except in Japan where an estimate of 5.31% might be due to low testing efforts. To conclude, in conjunction with border control measures to reduce influx of imported cases which might cause local outbreaks, other NPIs including social distancing measures along with case finding by rapid tests are also necessary to prevent potential large cluster outbreaks and transmissions from undetected cases. A comparatively lower CFR may reflect the health system capacity of these jurisdictions. In order to keep track of sustained disease transmission due to resumption of economic activities, a close monitoring of disease transmissibility is recommended in the relaxation phase. The report of transmission of SARS CoV-2 to pets in Hong Kong and to mink in farm outbreaks highlight for the control of COVID-19 and emerging infectious disease, the One Health approach is critical in understanding and accounting for how human, animals and environment health are intricately connected. © 2021 The Author(s)","Case-fatality; COVID-19; Non-pharmaceutical; Reproduction number; Western pacific","Article; case fatality rate; comparative study; contact examination; control strategy; coronavirus disease 2019; disease control; disease severity; disease transmission; health care policy; Hong Kong; human; Japan; Malaysia; retrospective study; Singapore; social distancing; South Korea; Taiwan"
"The COVID-19 pandemic face mask waste: A blooming threat to the marine environment",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099952894&doi=10.1016%2fj.chemosphere.2021.129601&partnerID=40&md5=9dd0d5086c020feb04788ef5cc9e76ca","Recently, the COVID-19 disease spread has emerged as a worldwide pandemic and cause severe threats to humanity. The World Health Organisation (WHO) releases guidelines to help the countries to reduce the spread of this virus to the public, like wearing masks, hand hygiene, social distancing, shutting down all types of public transports, etc. These conditions led to a worldwide economic fall drastically, and on the other hand, indirect environmental benefits like global air quality improvement and decreased water pollution are also pictured. Currently, use of face masks is part of a comprehensive package of the prevention and control measures that can limit the spread of COVID-19 since there is no clinically proven drugs or vaccine available for COVID-19. Mostly, face masks are made of petroleum-based non-renewable polymers that are non-biodegradable, hazardous to the environment and create health issues. This study demonstrates the extensive use of the face mask and how it affects human health and the marine ecosystem. It has become a great challenge for the government sectors to impose strict regulations for the proper disposal of the masks as medical waste by the public. Neglecting the seriousness of this issue may lead to the release of large tonnes of micro-plastics to the landfill as well as to the marine environment where mostly end-up and thereby affecting their fauna and flora population vastly. Besides, this study highlights the COVID-19 spread, its evolutionary importance, taxonomy, genomic structure, transmission to humans, prevention, and treatment. © 2021 Elsevier Ltd","Coronavirus; COVID-19; Face mask; Marine environment; Pollution","Air quality; Biodegradable polymers; Biohazards; Ecosystems; Targeted drug delivery; Viruses; Waste disposal; Water pollution; Air quality improvement; Disease spread; Environmental benefits; Genomic structure; Government sectors; Marine environment; Prevention and controls; Public transport; Controlled drug delivery; microplastic; air quality; anthropogenic effect; disease spread; epidemic; global perspective; landfill; marine environment; vaccine; viral disease; water pollution; air pollution; coronavirus disease 2019; energy conversion; hospital waste; human; infection prevention; landfill; marine environment; noise; pandemic; pollutant; recycling; Review; seashore; Severe acute respiratory syndrome coronavirus 2; taxonomy; virus transmission; ecosystem; mask; Coronavirus; COVID-19; Ecosystem; Humans; Masks; Pandemics; SARS-CoV-2"
"Opportunities and challenges for the building monitoring systems in the age-pandemic of COVID-19: Review and prospects",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099302938&doi=10.1007%2fs41062-020-00454-0&partnerID=40&md5=4938c73377efb86de9c8db3b53b8ed2f","The latest COVID-19 pandemic outbreak posed a significant risk to millions of people worldwide who are safe and well-being. As the environment continues to be open from lockdowns and becomes unprecedentedly tenuous or what many called a “new norm,” it makes sense to focus on what the society has experienced, re-examine our fundamental beliefs, and map the path of designing and creating a sustainable world. This article has summarized the latest technologies that have been recently implemented to control the spreading of COVID-19 through embedded smart monitoring systems and communicate effectively with the building management infrastructure. This article also discussed the statistical research analysis, which motivates the achievement of the targeted sustainable development goals (SDGs). Last but not least, the implemented technologies and their related variables to be controlled, challenges, and new perspectives were also addressed. © 2021, Springer Nature Switzerland AG.",,
"How COVID 19 effect Malaysian paddy industry? Adoption of green fertilizer a potential resolution",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091725631&doi=10.1007%2fs10668-020-00978-6&partnerID=40&md5=a21dcacaf28248fa90864e0d7e994a70","The COVID-19 pandemic resulted in more than 4.3 million confirmed cases and more than 2,90,000 deaths worldwide. It has also given rise to fears of an imminent economic crisis and recession. Social distance, self-isolation, and travel restrictions have led to a reduction in the workforce across all economical sectors and have led to a loss of many jobs. Schools have closed down, and the need for commodities and manufactured goods has decreased. On the other hand, the need for medical supplies has increased significantly. The food sector is also facing increased demand as a result of panic buying and storing food products. In response to this global outbreak, we summarize the socioeconomic effects of COVID-19 on the various aspects of the world economy. In Malaysia, the COVID-19 epidemic has checked the resilience of the agriculture sector. Especially the Malaysian paddy industry as country imports 30% of its overall consumption from different parts of the world. The real price of rice triplicating for the consumers, which was alarming for nations in this pandemic situation. The Government of Malaysia introduced the National Agrofood Policy 2011–2020 (NAP4) in 2010 as a guidance document for the implementation of agricultural sector development programs and projects in Malaysia. The NAP4 ‘s 10-year term is to be finished by the end of 2020. Several sectors demonstrate substantial success after approximately 8 years of introduction, while the other classes often lag behind the goal and progress quite slowly. Agricultural sector performance is affected by many problems and challenges. In acknowledgment of the poor success of this field, the Ministry of Agriculture and Agri-Based Industry has launched new approaches, policies, and programs that can change the agricultural sector more rapidly. The new direction is aimed at ensuring national food security and boosting farm and revenues. The authorized government agency needs to revise the policy formulation where Malaysia needs to set stages to revolutionize and modernize the rice farming to address the problem faced by the paddy sector in this pandemic situation to adopt GF. In this study, the researcher focuses on the improvisation of the policy to increase the paddy production sustainably. © 2020, Springer Nature B.V.","COVID19; GF; Malaysian paddy farmers; Sustainable agricultural practices","agroindustry; alternative agriculture; cause of death; COVID-19; fertilizer application; food security; paddy field; socioeconomic conditions; spatiotemporal analysis; Malaysia"
"Clinical waste management under COVID-19 scenario in Malaysia",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091466148&doi=10.1177%2f0734242X20959701&partnerID=40&md5=a36a5ab969a3c1864e93793aef3c8311","Malaysia recorded 8904 coronavirus disease (COVID-19) cases and 124 deaths as of 27 July 2020. Globally, everyday there are thousands of new cases of COVID-19 being recorded. Due to the high number of infections globally and nationwide the increase in the amount of clinical waste (CW) generation was expected. Malaysia has reported a 27% (by weight) increase in the generation of CW which was mostly attributed to COVID-19 related waste. This article presents the impacts of COVID-19 in waste generation, policy and regulation of CW management (CWM) in Malaysia and a case study on the CWM at a selected hospital used as a COVID-19 focal point. The current practice of CWM due to COVID-19 related cases follows the existing policy and legislation of CWM detailed in the Schedule Waste Regulation (2005), Environmental Quality Act, 1974, and with the standard operating procedure provided by the Ministry of Health, Malaysia. The case study conducted through survey and questionnaire interviews revealed that the CWM in government hospitals followed existing guidelines for CWM for COVID-19 waste, with some additional precautions and rules by the waste management contractors. © The Author(s) 2020.","clinical waste management; COVID-19; Malaysia; policy; regulation","Environmental regulations; Hospitals; Laws and legislation; Surveys; Current practices; Environmental quality acts; Management contractors; Policy and legislations; Policy and regulation; Standard operating procedures; Waste generation; Waste regulations; Waste management; COVID-19; environmental quality; scenario analysis; survey method; waste disposal; waste management; Article; awareness; biopsy; blood transfusion; carcinogenicity; chemical waste; coronavirus disease 2019; cryopreservation; cytotoxicity; disease surveillance; government; health care facility; hospital waste; human; interview; Malaysia; medical staff; pandemic; pollution; practice guideline; questionnaire; radioactive waste; screening test; solid waste management; training; waste disposal; waste management; Malaysia; Coronavirus; COVID-19; Humans; Malaysia; SARS-CoV-2; Waste Management"
"COVID-19 drives innovation using free online resources",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091233660&doi=10.1002%2fjdd.12421&partnerID=40&md5=1cf5ee437dcf88777d980b4d72e1c75e",[No abstract available],,
"Bat conservation and zoonotic disease risk: a research agenda to prevent misguided persecution in the aftermath of COVID-19",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089986161&doi=10.1111%2facv.12636&partnerID=40&md5=d1b2a0c57ca0faed9884587c4742790c",[No abstract available],,
"Effects of COVID-19 in E-learning on higher education institution students: the group comparison between male and female",2021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089064644&doi=10.1007%2fs11135-020-01028-z&partnerID=40&md5=87c7377a043a1102fcbd7d49d1295412","In response to the emerging and ever solution to the COVID-19 outbreak. This study proposes a theoretical framework based on literature and model to determined E-learning portal success. The study compared males and females to E-learning portal usage. The study objective is to check the difference between male and female E-learning portals’ accessibility among the students’ perspective. The study included service quality, system quality, information quality, user satisfaction, system use, and E-learning portal success. The empirical data of 280 students participated from the different universities of Malaysia through google surveys analyzed using the Partial Least Squares Structural Equation Modelling. The study further divided the full model into two domains, which are female and male. In the male model, information quality and system quality have direct relationships with user satisfaction. Information quality also supported the relationship with system use. At the same time, there is a positive relationship between user satisfaction and E-learning portals. Likewise, in the female model, E-service quality and Information quality both are supported by system use and user satisfaction. Similarly, system quality has a positive relationship with user satisfaction, and user satisfaction has a positive relationship with E-learning portals. The study will be further helpful for the Malaysian universities policy-makers such as top management, ministry of higher education, Malaysian universities union in designing the policies and programs on E-learning Portal Success in the country. The findings of the study reveal that males and females have a different level of in terms of usage of towards E-learning portals in Malaysian Universities. © 2020, Springer Nature B.V.","E-learning portal; Gender; Higher education institution; Information quality; System quality",
